year,tea,sugar,peanuts,coffee,cocoa,wheat,rye,rice,corn,barley,pork,beef,lamb
1886,122.438709,101.504988,126.6836446,107.7902345,92.66578617,96.36373713,94.42080751,80.81140351,86.2080882,116.4473684,73.26082547,85.00417711,93.79274457
1887,108.8658991,100.4040662,113.9178504,193.6633772,88.27679062,94.15519289,94.2778218,72.77657267,91.216905,112.7982646,85.58889858,75.67400062,77.81168425
1888,113.08470989999999,110.7906937,131.005528,171.0637226,88.27679062,113.4559479,104.3223748,84.70715835,107.4715744,128.1995662,99.87801623,81.98016734,86.78995551
1889,114.7608371,135.9887453,173.6800231,204.28090889999999,84.05294608,110.0577345,76.50170511,90.02242152,81.11079335,93.04932735,79.12335727,84.73734785,97.44242608
1890,114.5560788,110.3863768,169.6949748,213.7907745,80.64547658,116.4307396,114.7641225,91.0430839,94.16572431,140.8163265,71.56114304,83.50070187,92.29024943
1891,115.7392872,112.1959895,113.1299832,201.1598097,75.93585723,126.0534917,142.2117217,88.67346939,141.4566375,118.3673469,79.71560769,87.89547565,82.90480034
1892,108.855166,115.815215,101.2215639,190.4000989,74.21079807,103.2301306,98.92188412,97.27891156,111.0892217,105.6689342,92.44266933,83.50070187,82.90480034
1893,107.2203599,108.9067278,102.3823616,214.7661871,82.44903766,89.34533263,92.41700086,81.3646789,96.72984797,92.20183486,120.9446662,83.34698558,85.43772353
1894,109.0911886,105.2569709,85.00812253,219.0452626,75.71243837,78.66006792,94.67970534,67.26618705,109.931835,104.7961631,96.95714939,85.98264246,90.98483925
1895,112.2377622,94.11764706,96.77419355,205.5454177,73.76679999,85.97901028,81.23752495,75.67567568,102.2347099,80.58968059,85.63170933,88.0952381,98.30508475
1896,111.3053613,98.03921569,109.6774194,186.6636253,67.46567939,94.35018943,73.65269461,83.78378378,67.65333682,72.72727273,67.21717589,80.95238095,89.83050847
1897,110.4477612,87.34757585,91.44599583,95.4549031,71.84795405,122.8161847,86.08752644,94.40298507,67.58626605,85.32338308,72.98581412,86.7803838,94.37979594
1898,107.7337671,93.30309238,94.71192425,76.97976056,96.85520081,128.380221,89.11877737,98.50746269,83.61785449,96.76616915,77.16598675,86.7803838,89.23180707
1899,104.075775,97.27343674,111.0415664,75.44016535,87.33384209,102.2777317,100.0312807,98.50746269,88.89923748,96.51741294,80.84453866,96.42264866,92.66379965
1900,100,100,100,100,100,100,100,100,100,100,100,100,100
1901,94.48084519,79.93692538,92.41309114,77.70516402,92.90888017,100.4507857,108.4481522,88.79106793,129.3161242,110.1941748,115.345979,98.78640777,90.4146783
1902,98.9144137,63.11335867,107.0472654,68.63995422,92.37014303,102.8670524,97.40710426,84.85893381,152.9143491,108.6330935,133.950775,97.60191847,90.98483925
1903,73.653054,66.08935657,110.8194985,65.97914521,90.88573717,106.4803554,101.9040465,104.9157927,114.9948615,104.8065651,113.4733098,90.86820657,93.81047946
1904,87.35851769,86.98722933,139.9618734,90.30598292,92.07736605,137.8376678,130.2812683,86.47679732,124.5363592,95.48088065,95.95777601,94.3221321,94.3221321
1905,85.82120197,94.07655733,123.1327762,96.10510683,91.44820145,135.8809605,114.8563366,98.43267977,125.3623988,92.37983587,98.73753973,95.10220903,95.42790152
1906,73.61611205,69.92849759,117.4385913,91.2761027,91.67723501,104.516104,108.9998901,113.1776737,112.9223127,95.87155963,115.548792,93.34862385,94.93080392
1907,68.96383652,70.40772137,126.8227046,71.07244697,106.3742231,115.2537583,129.4806655,116.2942293,123.1416891,145.9934138,106.9867234,87.21766202,90.86680682
1908,65.22830771,82.54796747,108.9179806,70.11620369,75.50508274,126.0285928,132.6029555,123.2157061,163.0086842,126.9058296,103.839987,91.25560538,89.70890021
1909,72.15847609,82.17975389,122.0612976,88.70679794,65.36883882,157.4419926,132.2642696,98.06168306,160.7621689,126.7573696,137.1017,92.29024943,81.34055882
1910,71.17928098,84.94703119,114.0415397,104.5013706,58.92473851,137.2817937,127.8983835,93.74621729,134.9930585,131.8132465,155.8913004,88.08054756,86.88418999
